CE ID,Contracting Entity,Type of Organization,Program Type (SFSP or SSFO),Type of SFSP,TDA Region,ESC Region,County, Sites Claiming , Breakfast Days Claimed , Severe Need Breakfast Days Claimed , AM Snack Days Claimed , Lunch Days Claimed , PM Snack Days Claimed , Supper Days Claimed , Breakfast Meals , Severe Need Breakfast Meals , AM Snack Meals , Lunch Meals , LUNCH ADP , PM Snack Meals , Supper Meals , TOTAL MEALS , Breakfast Reimbursement , Severe Need Breakfast Reimbursement , AM Snack Reimbursement , Lunch Reimbursement , PM Snack Reimbursement , Supper Reimbursement , Admin Reimbursement , Total Reimbursement 
659,BEN BOLT-PALITO BLANCO ISD,Educational Institution,SFSP,School Food Authority,5,2,Jim Wells ,2,16, -   , -   ,16, -   , -   ,"1,037", -   , -   ,"1,575",98, -   , -   ,"2,612","1,960", -   , -   ,"5,198", -   , -   ,738,"7,895"
665,CLEBURNE ISD,Educational Institution,SFSP,School Food Authority,2,11,Johnson ,2,17, -   , -   ,17, -   , -   ,"3,222", -   , -   ,"5,813",342, -   , -   ,"9,035","6,090", -   , -   ,"19,183", -   , -   ,"2,610","27,882"
670,VENUS ISD,Educational Institution,SFSP,School Food Authority,2,11,Johnson ,2,19, -   , -   ,19, -   , -   ,"1,920", -   , -   ,"2,514",132, -   , -   ,"4,434","3,629", -   , -   ,"8,296", -   , -   ,"1,227","13,152"
672,ANSON ISD,Educational Institution,SFSP,School Food Authority,1,14,Jones ,1,16, -   , -   ,16, -   , -   ,"1,056", -   , -   ,"1,723",108, -   , -   ,"2,779","1,996", -   , -   ,"5,686", -   , -   ,792,"8,474"
673,HAMLIN ISD,Educational Institution,SFSP,School Food Authority,1,14,Jones ,1,18, -   , -   ,18, -   , -   ,166, -   , -   ,287,16, -   , -   ,453,314, -   , -   ,947, -   , -   ,130,"1,391"
674,HAWLEY ISD,Educational Institution,SFSP,School Food Authority,1,14,Jones ,1, -   , -   , -   ,16, -   , -   , -   , -   , -   ,479,30, -   , -   ,479, -   , -   , -   ,"1,581", -   , -   ,165,"1,746"
689,COMFORT ISD,Educational Institution,SFSP,School Food Authority,4,13,Kendall ,1,21, -   , -   ,21, -   , -   ,835, -   , -   ,"1,492",71, -   , -   ,"2,327","1,578", -   , -   ,"4,924", -   , -   ,552,"7,054"
691,CENTER POINT ISD,Educational Institution,SFSP,School Food Authority,4,20,Kerr ,1,20, -   , -   ,20, -   , -   ,301, -   , -   ,708,35, -   , -   ,"1,009",569, -   , -   ,"2,336", -   , -   ,301,"3,206"
693,KERRVILLE ISD,Educational Institution,SFSP,School Food Authority,4,20,Kerr ,1,20, -   , -   ,20, -   , -   ,"3,157", -   , -   ,"4,756",238, -   , -   ,"7,913","5,967", -   , -   ,"15,695", -   , -   ,"2,233","23,894"
697,BRACKETT ISD,Educational Institution,SFSP,School Food Authority,4,20,Kinney ,2,30, -   , -   ,30, -   , -   ,220, -   , -   ,"1,256",42, -   , -   ,"1,476",416, -   , -   ,"4,145", -   , -   ,475,"5,035"
699,RICARDO ISD,Educational Institution,SFSP,School Food Authority,5,2,Kleberg ,2,22, -   , -   ,22, -   , -   ,"1,236", -   , -   ,"1,915",87, -   , -   ,"3,151","2,336", -   , -   ,"6,320", -   , -   ,892,"9,548"
702,KNOX CITY-O'BRIEN ISD,Educational Institution,SFSP,School Food Authority,1,9,Knox ,1,20, -   , -   ,20, -   , -   ,874, -   , -   ,"1,239",62, -   , -   ,"2,113","1,652", -   , -   ,"4,089", -   , -   ,591,"6,332"
703,MUNDAY ISD,Educational Institution,SFSP,School Food Authority,1,9,Knox ,1,20, -   , -   ,20, -   , -   ,871, -   , -   ,"1,151",58, -   , -   ,"2,022","1,646", -   , -   ,"3,798", -   , -   ,560,"6,005"
711,LITTLEFIELD ISD,Educational Institution,SFSP,School Food Authority,1,17,Lamb ,1,22, -   , -   ,22, -   , -   ,"2,558", -   , -   ,"3,113",142, -   , -   ,"5,671","4,835", -   , -   ,"10,273", -   , -   ,"1,554","16,661"
712,OLTON ISD,Educational Institution,SFSP,School Food Authority,1,17,Lamb ,1,20, -   , -   ,20, -   , -   ,"1,121", -   , -   ,"1,802",90, -   , -   ,"2,923","2,119", -   , -   ,"5,947", -   , -   ,832,"8,897"
714,SUDAN ISD,Educational Institution,SFSP,School Food Authority,1,17,Lamb ,1, -   , -   , -   ,22, -   , -   , -   , -   , -   ,686,31, -   , -   ,686, -   , -   , -   ,"2,264", -   , -   ,237,"2,500"
719,MOULTON ISD,Educational Institution,SFSP,School Food Authority,3,3,Lavaca ,1,20, -   , -   ,20, -   , -   ,257, -   , -   ,307,15, -   , -   ,564,486, -   , -   ,"1,013", -   , -   ,154,"1,653"
732,CLEVELAND ISD,Educational Institution,SFSP,School Food Authority,3,4,Liberty ,7,23, -   , -   ,23, -   , -   ,"2,428", -   , -   ,"4,843",211, -   , -   ,"7,271","4,589", -   , -   ,"15,982", -   , -   ,"2,097","22,668"
733,DAYTON ISD,Educational Institution,SFSP,School Food Authority,3,4,Liberty ,1,15, -   , -   ,15, -   , -   ,"2,236", -   , -   ,"2,959",197, -   , -   ,"5,195","4,226", -   , -   ,"9,765", -   , -   ,"1,440","15,431"
742,BOOKER ISD,Educational Institution,SFSP,School Food Authority,1,16,Lipscomb ,1, -   , -   , -   ,15, -   , -   , -   , -   , -   ,"1,074",72, -   , -   ,"1,074", -   , -   , -   ,"3,544", -   , -   ,371,"3,915"
764,NORTH ZULCH ISD,Educational Institution,SFSP,School Food Authority,3,6,Madison ,1,19, -   , -   ,19, -   , -   ,521, -   , -   ,"1,142",60, -   , -   ,"1,663",985, -   , -   ,"3,769", -   , -   ,492,"5,245"
769,BAY CITY ISD,Educational Institution,SFSP,School Food Authority,3,3,Matagorda ,5,19, -   , -   ,39,39, -   ,"1,226", -   , -   ,"6,606",169,"3,822", -   ,"11,654","2,317", -   , -   ,"21,800","2,943", -   ,"2,872","29,932"
772,PALACIOS ISD,Educational Institution,SFSP,School Food Authority,3,3,Matagorda ,2,28, -   , -   ,28, -   , -   ,"1,449", -   , -   ,"3,242",116, -   , -   ,"4,691","2,739", -   , -   ,"10,699", -   , -   ,"1,390","14,827"
774,EAGLE PASS ISD,Educational Institution,SFSP,School Food Authority,4,20,Maverick ,6, -   , -   , -   ,25, -   , -   , -   , -   , -   ,"26,113","1,045", -   , -   ,"26,113", -   , -   , -   ,"86,173", -   , -   ,"9,009","95,182"
777,LOHN ISD,Educational Institution,SFSP,School Food Authority,4,15,Mcculloch ,1,15, -   , -   ,15, -   , -   ,330, -   , -   ,405,27, -   , -   ,735,624, -   , -   ,"1,337", -   , -   ,202,"2,162"
789,WACO ISD,Educational Institution,SFSP,School Food Authority,2,12,Mclennan ,126,54, -   , -   ,54, -   , -   ,"66,153", -   , -   ,"127,424","2,360", -   , -   ,"193,577","125,029", -   , -   ,"420,499", -   , -   ,"56,365","601,893"
802,NATALIA ISD,Educational Institution,SFSP,School Food Authority,4,20,Medina ,3,25, -   , -   ,25, -   , -   ,"2,414", -   , -   ,"3,083",123, -   , -   ,"5,497","4,562", -   , -   ,"10,174", -   , -   ,"1,414","16,150"
803,HONDO ISD,Educational Institution,SFSP,School Food Authority,4,20,Medina ,1, -   , -   , -   ,16, -   , -   , -   , -   , -   ,"1,394",87, -   , -   ,"1,394", -   , -   , -   ,"4,600", -   , -   ,481,"5,081"
804,MEDINA VALLEY ISD,Educational Institution,SFSP,School Food Authority,4,20,Medina ,1,18, -   , -   ,18, -   , -   ,"3,622", -   , -   ,"4,027",224, -   , -   ,"7,649","6,846", -   , -   ,"13,289", -   , -   ,"2,068","22,203"
807,MIDLAND ISD,Educational Institution,SFSP,School Food Authority,1,18,Midland ,18,53, -   , -   ,53, -   , -   ,"7,096", -   , -   ,"24,329",459, -   , -   ,"31,425","13,411", -   , -   ,"80,286", -   , -   ,"9,724","103,421"
809,CAMERON ISD,Educational Institution,SFSP,School Food Authority,2,6,Milam ,1, -   , -   , -   ,20, -   , -   , -   , -   , -   ,"2,431",122, -   , -   ,"2,431", -   , -   , -   ,"8,022", -   , -   ,839,"8,861"
830,CONROE ISD,Educational Institution,SFSP,School Food Authority,3,6,Montgomery ,8,16, -   , -   ,16, -   , -   ,"21,929", -   , -   ,"39,469","2,467", -   , -   ,"61,398","41,446", -   , -   ,"130,248", -   , -   ,"17,729","189,422"
832,WILLIS ISD,Educational Institution,SFSP,School Food Authority,3,6,Montgomery ,1,20, -   , -   ,20, -   , -   ,"1,552", -   , -   ,"1,756",88, -   , -   ,"3,308","2,933", -   , -   ,"5,795", -   , -   ,897,"9,625"
834,SPLENDORA ISD,Educational Institution,SFSP,School Food Authority,3,6,Montgomery ,1,24, -   , -   ,24, -   , -   ,"1,463", -   , -   ,"3,303",138, -   , -   ,"4,766","2,765", -   , -   ,"10,900", -   , -   ,"1,377","15,042"
836,DUMAS ISD,Educational Institution,SFSP,School Food Authority,1,16,Moore ,2, -   , -   , -   ,18, -   , -   , -   , -   , -   ,783,44, -   , -   ,783, -   , -   , -   ,"2,584", -   , -   ,270,"2,854"
842,CUSHING ISD,Educational Institution,SFSP,School Food Authority,3,7,Nacogdoches ,7,37, -   , -   ,37, -   ,11,"2,473", -   , -   ,"3,470",94, -   ,"2,375","8,318","4,674", -   , -   ,"11,451", -   ,"7,838","2,480","26,443"
844,NACOGDOCHES ISD,Educational Institution,SFSP,School Food Authority,3,7,Nacogdoches ,55,44, -   , -   ,44, -   ,9,"15,970", -   , -   ,"29,227",664, -   ,583,"45,780","30,183", -   , -   ,"96,449", -   ,"1,924","13,279","141,835"
851,CORSICANA ISD,Educational Institution,SFSP,School Food Authority,2,12,Navarro ,10,28, -   , -   ,29, -   , -   ,"3,008", -   , -   ,"6,100",210, -   , -   ,"9,108","5,685", -   , -   ,"20,130", -   , -   ,"2,669","28,484"
858,NEWTON ISD,Educational Institution,SFSP,School Food Authority,3,5,Newton ,1,9, -   , -   ,9, -   , -   ,524, -   , -   ,682,76, -   , -   ,"1,206",990, -   , -   ,"2,251", -   , -   ,334,"3,575"
873,ROBSTOWN ISD,Educational Institution,SFSP,School Food Authority,5,2,Nueces ,9,40, -   , -   ,40, -   , -   ,"5,558", -   , -   ,"10,355",259, -   , -   ,"15,913","10,505", -   , -   ,"34,172", -   , -   ,"4,615","49,291"
878,PERRYTON ISD,Educational Institution,SFSP,School Food Authority,1,16,Ochiltree ,2,22, -   , -   ,22, -   , -   ,"3,076", -   , -   ,"3,892",177, -   , -   ,"6,968","5,814", -   , -   ,"12,844", -   , -   ,"1,919","20,577"
884,WEST ORANGE-COVE CONS ISD,Educational Institution,SFSP,School Food Authority,3,5,Orange ,7,44, -   , -   ,44, -   , -   ,"4,816", -   , -   ,"5,673",129, -   , -   ,"10,489","9,102", -   , -   ,"18,721", -   , -   ,"2,860","30,683"
905,BOVINA ISD,Educational Institution,SFSP,School Food Authority,1,16,Parmer ,1, -   , -   , -   ,22, -   , -   , -   , -   , -   ,"2,414",110, -   , -   ,"2,414", -   , -   , -   ,"7,966", -   , -   ,833,"8,799"
907,FRIONA ISD,Educational Institution,SFSP,School Food Authority,1,16,Parmer ,1,20, -   , -   ,20, -   , -   ,"3,112", -   , -   ,"3,000",150, -   , -   ,"6,112","5,882", -   , -   ,"9,900", -   , -   ,"1,619","17,400"
920,HIGHLAND PARK ISD,Educational Institution,SFSP,School Food Authority,1,16,Potter ,1,16, -   , -   ,16, -   , -   ,686, -   , -   ,"1,034",65, -   , -   ,"1,720","1,297", -   , -   ,"3,412", -   , -   ,485,"5,194"
923,PRESIDIO ISD,Educational Institution,SFSP,School Food Authority,1,18,Presidio ,2, -   , -   , -   ,22, -   , -   , -   , -   , -   ,"1,102",50, -   , -   ,"1,102", -   , -   , -   ,"3,637", -   , -   ,380,"4,017"
926,REAGAN COUNTY ISD,Educational Institution,SFSP,School Food Authority,4,18,Reagan ,1,16, -   , -   ,16, -   , -   ,84, -   , -   ,465,29, -   , -   ,549,159, -   , -   ,"1,535", -   , -   ,176,"1,869"
931,CLARKSVILLE ISD,Educational Institution,SFSP,School Food Authority,2,8,Red River ,1,14, -   , -   ,14, -   , -   ,171, -   , -   ,728,52, -   , -   ,899,323, -   , -   ,"2,402", -   , -   ,283,"3,009"
933,PECOS-BARSTOW-TOYAH ISD,Educational Institution,SFSP,School Food Authority,1,18,Reeves ,2,30, -   , -   ,30, -   , -   ,"2,374", -   , -   ,"3,067",102, -   , -   ,"5,441","4,487", -   , -   ,"10,121", -   , -   ,"1,503","16,111"
934,BALMORHEA ISD,Educational Institution,SFSP,School Food Authority,1,18,Reeves ,1, -   , -   , -   ,25, -   , -   , -   , -   , -   ,601,24, -   , -   ,601, -   , -   , -   ,"1,983", -   , -   ,207,"2,191"
940,CALVERT ISD,Educational Institution,SFSP,School Food Authority,3,6,Robertson ,1, -   , -   , -   ,22, -   , -   , -   , -   , -   ,423,19, -   , -   ,423, -   , -   , -   ,"1,396", -   , -   ,146,"1,542"
942,HEARNE ISD,Educational Institution,SFSP,School Food Authority,3,6,Robertson ,1,17, -   , -   ,17, -   , -   ,"1,345", -   , -   ,"2,123",125, -   , -   ,"3,468","2,542", -   , -   ,"7,006", -   , -   ,985,"10,533"
943,MUMFORD ISD,Educational Institution,SFSP,School Food Authority,3,6,Robertson ,1,20, -   , -   ,20, -   , -   ,"1,890", -   , -   ,"2,024",101, -   , -   ,"3,914","3,572", -   , -   ,"6,679", -   , -   ,"1,053","11,304"
944,ROCKWALL ISD,Educational Institution,SFSP,School Food Authority,2,10,Rockwall ,4,39, -   , -   ,39, -   , -   ,"3,157", -   , -   ,"8,499",218, -   , -   ,"11,656","5,967", -   , -   ,"28,047", -   , -   ,"3,524","37,538"
948,WINTERS ISD,Educational Institution,SFSP,School Food Authority,1,15,Runnels ,1,18, -   , -   ,18, -   , -   ,592, -   , -   ,846,47, -   , -   ,"1,438","1,119", -   , -   ,"2,792", -   , -   ,403,"4,314"
955,TATUM ISD,Educational Institution,SFSP,School Food Authority,2,7,Rusk ,1,16, -   , -   ,16, -   , -   ,904, -   , -   ,"2,343",146, -   , -   ,"3,247","1,709", -   , -   ,"7,732", -   , -   ,978,"10,418"
956,CARLISLE ISD,Educational Institution,SFSP,School Food Authority,2,7,Rusk ,1,19, -   , -   ,19, -   , -   ,157, -   , -   ,178,9, -   , -   ,335,297, -   , -   ,587, -   , -   ,91,975
958,HEMPHILL ISD,Educational Institution,SFSP,School Food Authority,3,7,Sabine ,1,12, -   , -   ,12, -   , -   ,391, -   , -   ,"1,017",85, -   , -   ,"1,408",739, -   , -   ,"3,356", -   , -   ,424,"4,519"
960,SAN AUGUSTINE ISD,Educational Institution,SFSP,School Food Authority,3,7,San Augustine ,2,27, -   , -   ,27, -   , -   ,"4,477", -   , -   ,"5,864",217, -   , -   ,"10,341","8,462", -   , -   ,"19,351", -   , -   ,"2,863","30,675"
964,ARANSAS PASS ISD,Educational Institution,SFSP,School Food Authority,5,2,San Patricio ,2,34, -   , -   ,34, -   , -   ,"4,105", -   , -   ,"5,734",169, -   , -   ,"9,839","7,758", -   , -   ,"18,922", -   , -   ,"2,748","29,429"
965,GREGORY-PORTLAND ISD,Educational Institution,SFSP,School Food Authority,5,2,San Patricio ,1,19, -   , -   ,19, -   , -   ,"2,434", -   , -   ,"3,683",194, -   , -   ,"6,117","4,600", -   , -   ,"12,154", -   , -   ,"1,727","18,481"
967,MATHIS ISD,Educational Institution,SFSP,School Food Authority,5,2,San Patricio ,2,17, -   , -   ,17, -   , -   ,"2,940", -   , -   ,"3,225",190, -   , -   ,"6,165","5,557", -   , -   ,"10,643", -   , -   ,"1,664","17,863"
969,SINTON ISD,Educational Institution,SFSP,School Food Authority,5,2,San Patricio ,2,29, -   , -   ,29, -   , -   ,"13,566", -   , -   ,"15,559",537, -   , -   ,"29,125","25,640", -   , -   ,"51,345", -   , -   ,"7,911","84,896"
986,TEXHOMA ISD,Educational Institution,SFSP,School Food Authority,1,16,Sherman ,1,22, -   , -   ,22, -   , -   ,472, -   , -   ,680,31, -   , -   ,"1,152",892, -   , -   ,"2,244", -   , -   ,323,"3,459"
987,STRATFORD ISD,Educational Institution,SFSP,School Food Authority,1,16,Sherman ,1,22, -   , -   ,22, -   , -   ,"1,108", -   , -   ,"1,636",74, -   , -   ,"2,744","2,094", -   , -   ,"5,399", -   , -   ,772,"8,265"
1002,ROMA ISD,Educational Institution,SFSP,School Food Authority,5,1,Starr ,35,60, -   , -   ,60, -   , -   ,"30,036", -   , -   ,"41,354",689, -   , -   ,"71,390","56,768", -   , -   ,"136,468", -   , -   ,"19,899","213,135"
1005,ASPERMONT ISD,Educational Institution,SFSP,School Food Authority,1,14,Stonewall ,1, -   , -   , -   ,1, -   , -   , -   , -   , -   ,231,231, -   , -   ,231, -   , -   , -   ,762, -   , -   ,80,842
1006,SONORA ISD,Educational Institution,SFSP,School Food Authority,4,15,Sutton ,3,30, -   , -   ,30, -   , -   ,"2,601", -   , -   ,"2,727",91, -   , -   ,"5,328","4,916", -   , -   ,"8,999", -   , -   ,"1,429","15,344"
1008,TULIA ISD,Educational Institution,SFSP,School Food Authority,1,16,Swisher ,2, -   , -   , -   ,40, -   , -   , -   , -   , -   ,"2,226",56, -   , -   ,"2,226", -   , -   , -   ,"7,346", -   , -   ,768,"8,114"
1017,ARLINGTON ISD,Educational Institution,SFSP,School Food Authority,2,11,Tarrant ,108,43, -   , -   ,43,10,13,"92,471", -   , -   ,"132,755","3,087","6,404",342,"231,972","174,770", -   , -   ,"438,092","4,931","1,129","63,709","682,631"
1019,EVERMAN ISD,Educational Institution,SFSP,School Food Authority,2,11,Tarrant ,6,26, -   , -   ,26, -   , -   ,"6,656", -   , -   ,"10,304",396, -   , -   ,"16,960","12,580", -   , -   ,"34,003", -   , -   ,"4,803","51,386"
1024,LAKE WORTH ISD,Educational Institution,SFSP,School Food Authority,2,11,Tarrant ,7,20, -   , -   ,20, -   , -   ,"2,647", -   , -   ,"5,877",294, -   , -   ,"8,524","5,003", -   , -   ,"19,394", -   , -   ,"2,524","26,921"
1028,HURST-EULESS-BEDFORD ISD,Educational Institution,SFSP,School Food Authority,2,11,Tarrant ,10,34, -   , -   ,34, -   , -   ,"8,385", -   , -   ,"24,698",726, -   , -   ,"33,083","15,848", -   , -   ,"81,503", -   , -   ,"10,093","107,444"
1034,ABILENE ISD,Educational Institution,SFSP,School Food Authority,1,14,Taylor ,24,38, -   , -   ,38, -   , -   ,"24,216", -   , -   ,"40,560","1,067", -   , -   ,"64,776","45,768", -   , -   ,"133,848", -   , -   ,"18,534","198,150"
1040,BROWNFIELD ISD,Educational Institution,SFSP,School Food Authority,1,17,Terry ,9,35, -   , -   ,35, -   ,5,"3,348", -   , -   ,"4,736",135, -   ,585,"8,669","6,328", -   , -   ,"15,629", -   ,"1,931","2,464","26,351"
1041,MEADOW ISD,Educational Institution,SFSP,School Food Authority,1,17,Terry ,1,20, -   , -   ,20, -   , -   ,987, -   , -   ,987,49, -   , -   ,"1,974","1,865", -   , -   ,"3,257", -   , -   ,526,"5,648"
1045,MOUNT PLEASANT ISD,Educational Institution,SFSP,School Food Authority,2,8,Titus ,7,15, -   , -   ,15, -   , -   ,"4,999", -   , -   ,"8,142",543, -   , -   ,"13,141","9,448", -   , -   ,"26,869", -   , -   ,"3,746","40,063"
1051,SAN ANGELO ISD,Educational Institution,SFSP,School Food Authority,4,15,Tom Green ,12,34, -   , -   ,34, -   , -   ,"13,712", -   , -   ,"23,958",705, -   , -   ,"37,670","25,916", -   , -   ,"79,061", -   , -   ,"10,837","115,814"
1054,GRAPE CREEK ISD,Educational Institution,SFSP,School Food Authority,4,15,Tom Green ,1,16, -   , -   ,16, -   , -   ,"1,495", -   , -   ,"1,815",113, -   , -   ,"3,310","2,826", -   , -   ,"5,990", -   , -   ,906,"9,722"
1059,TEXAS EMPOWERMENT ACADEMY,Educational Institution,SFSP,School Food Authority,4,13,Travis ,2,24, -   , -   ,24, -   , -   ,"1,552", -   , -   ,"1,937",81, -   , -   ,"3,489","2,933", -   , -   ,"6,392", -   , -   ,959,"10,285"
1076,TRINITY ISD,Educational Institution,SFSP,School Food Authority,3,6,Trinity ,2,20, -   , -   ,20, -   , -   ,"1,206", -   , -   ,"1,682",84, -   , -   ,"2,888","2,279", -   , -   ,"5,551", -   , -   ,806,"8,636"
1085,GILMER ISD,Educational Institution,SFSP,School Food Authority,2,7,Upshur ,12,35, -   , -   ,35, -   ,7,"3,606", -   , -   ,"6,551",187, -   ,284,"10,441","6,815", -   , -   ,"21,618", -   ,937,"3,034","32,405"
1091,MCCAMEY ISD,Educational Institution,SFSP,School Food Authority,1,18,Upton ,1, -   , -   , -   ,15, -   , -   , -   , -   , -   ,360,24, -   , -   ,360, -   , -   , -   ,"1,188", -   , -   ,124,"1,312"
1098,SAN FELIPE-DEL RIO,Educational Institution,SFSP,School Food Authority,4,15,Val Verde ,8,43, -   , -   ,43, -   , -   ,"10,745", -   , -   ,"24,121",561, -   , -   ,"34,866","20,308", -   , -   ,"79,599", -   , -   ,"10,336","110,244"
1109,VICTORIA ISD,Educational Institution,SFSP,School Food Authority,3,3,Victoria ,27,44, -   , -   ,44, -   , -   ,"11,101", -   , -   ,"23,305",530, -   , -   ,"34,406","20,981", -   , -   ,"76,907", -   , -   ,"10,122","108,009"
1114,WALLER ISD,Educational Institution,SFSP,School Food Authority,3,4,Waller ,3,19, -   , -   ,19, -   , -   ,"5,378", -   , -   ,"8,217",432, -   , -   ,"13,595","10,164", -   , -   ,"27,116", -   , -   ,"3,843","41,124"
1116,MONAHANS-WICKETT-PYOTE ISD,Educational Institution,SFSP,School Food Authority,1,18,Ward ,1,18, -   , -   ,18, -   , -   ,963, -   , -   ,"1,645",91, -   , -   ,"2,608","1,820", -   , -   ,"5,429", -   , -   ,748,"7,997"
1122,LAREDO ISD,Educational Institution,SFSP,School Food Authority,5,1,Webb ,163,44, -   ,24,44,44, -   ,"83,414", -   ,304,"164,396","3,736","39,056", -   ,"287,170","157,652", -   ,234,"542,507","30,073", -   ,"76,096","806,562"
1123,UNITED ISD,Educational Institution,SFSP,School Food Authority,5,1,Webb ,96,50, -   , -   ,50, -   , -   ,"107,495", -   , -   ,"163,084","3,262", -   , -   ,"270,579","203,166", -   , -   ,"538,177", -   , -   ,"76,419","817,762"
1135,BURKBURNETT ISD,Educational Institution,SFSP,School Food Authority,2,9,Wichita ,1,15, -   , -   ,15, -   , -   ,815, -   , -   ,"1,834",122, -   , -   ,"2,649","1,540", -   , -   ,"6,052", -   , -   ,786,"8,378"
1138,WICHITA FALLS ISD,Educational Institution,SFSP,School Food Authority,2,9,Wichita ,11,36, -   , -   ,39, -   , -   ,"5,120", -   , -   ,"9,988",256, -   , -   ,"15,108","9,677", -   , -   ,"32,960", -   , -   ,"4,406","47,043"
1143,LASARA ISD,Educational Institution,SFSP,School Food Authority,5,1,Willacy ,1,20, -   , -   ,19, -   , -   ,"1,345", -   , -   ,"1,599",84, -   , -   ,"2,944","2,542", -   , -   ,"5,277", -   , -   ,804,"8,623"
1144,LYFORD ISD,Educational Institution,SFSP,School Food Authority,5,1,Willacy ,2,20, -   , -   ,20, -   , -   ,"5,246", -   , -   ,"6,977",349, -   , -   ,"12,223","9,915", -   , -   ,"23,024", -   , -   ,"3,391","36,330"
1154,TAYLOR ISD,Educational Institution,SFSP,School Food Authority,4,13,Williamson ,9,43, -   , -   ,43, -   , -   ,"3,859", -   , -   ,"6,854",159, -   , -   ,"10,713","7,294", -   , -   ,"22,618", -   , -   ,"3,088","33,000"
1156,LEANDER ISD,Educational Institution,SFSP,School Food Authority,4,13,Williamson ,12,45, -   , -   ,45, -   , -   ,"7,537", -   , -   ,"11,028",245, -   , -   ,"18,565","14,245", -   , -   ,"36,392", -   , -   ,"5,218","55,855"
1162,KERMIT ISD,Educational Institution,SFSP,School Food Authority,1,18,Winkler ,1,12, -   , -   ,12, -   , -   ,"1,433", -   , -   ,"1,793",149, -   , -   ,"3,226","2,708", -   , -   ,"5,917", -   , -   ,887,"9,513"
1166,BRIDGEPORT ISD,Educational Institution,SFSP,School Food Authority,2,11,Wise ,2,45, -   , -   ,45, -   , -   ,"1,083", -   , -   ,"3,037",67, -   , -   ,"4,120","2,047", -   , -   ,"10,022", -   , -   ,"1,251","13,320"
1168,DECATUR ISD,Educational Institution,SFSP,School Food Authority,2,11,Wise ,2,15, -   , -   ,15, -   , -   ,"1,535", -   , -   ,"2,930",195, -   , -   ,"4,465","2,901", -   , -   ,"9,669", -   , -   ,"1,299","13,869"
1177,DENVER CITY ISD,Educational Institution,SFSP,School Food Authority,1,17,Yoakum ,1,22, -   , -   ,22, -   , -   ,"2,308", -   , -   ,"3,358",153, -   , -   ,"5,666","4,362", -   , -   ,"11,081", -   , -   ,"1,591","17,035"
1182,ZAPATA ISD,Educational Institution,SFSP,School Food Authority,5,1,Zapata ,14,40, -   , -   ,40, -   , -   ,"10,596", -   , -   ,"26,202",655, -   , -   ,"36,798","20,026", -   , -   ,"86,467", -   , -   ,"11,026","117,519"
1183,CRYSTAL CITY ISD,Educational Institution,SFSP,School Food Authority,4,20,Zavala ,4,20, -   , -   ,20, -   , -   ,"5,604", -   , -   ,"9,420",471, -   , -   ,"15,024","10,592", -   , -   ,"31,086", -   , -   ,"4,301","45,978"
1184,LA PRYOR ISD,Educational Institution,SFSP,School Food Authority,4,20,Zavala ,2,20, -   , -   ,20, -   , -   ,666, -   , -   ,"1,208",60, -   , -   ,"1,874","1,259", -   , -   ,"3,986", -   , -   ,542,"5,787"
1214,"BOYS AND GIRLS CLUBS OF DENISON, INC",Private Non Profit Organization,SFSP,Private Nonprofit,2,10,Grayson ,3,54, -   , -   ,54, -   , -   ,"3,437", -   , -   ,"6,672",124, -   , -   ,"10,109","6,496", -   , -   ,"22,018", -   , -   ,"2,946","31,460"
1223,OUR LADY OF THE VALLEY PARISH,Private Non Profit Organization,SFSP,School Food Authority,1,19,El Paso ,10, -   , -   , -   ,33,33, -   , -   , -   , -   ,"13,162",399,"1,623", -   ,"14,785", -   , -   , -   ,"43,435","1,250", -   ,"4,695","49,379"
1500,CITY OF BEAUMONT  ,Government Agency,SFSP,Unit of Government,3,5,Jefferson ,27, -   , -   , -   ,49, -   , -   , -   , -   , -   ,"18,386",375, -   , -   ,"18,386", -   , -   , -   ,"60,674", -   , -   ,"5,286","65,960"
1501,MOUNT OLIVE BAPTIST CHURCH,Private Non Profit Organization,SFSP,Private Nonprofit,3,5,Jasper ,31,59, -   , -   ,59, -   , -   ,"14,428", -   , -   ,"24,971",423, -   , -   ,"39,399","27,269", -   , -   ,"82,404", -   , -   ,"11,320","120,993"
1502,AUSTIN YMBL SUNSHINE CAMP  ,Private Non Profit Organization,SFSP,Residential Camp,4,13,Travis ,6,39, -   , -   ,47, -   ,39,"4,769", -   , -   ,"5,776",123, -   ,"4,811","15,356","9,013", -   , -   ,"19,061", -   ,"15,876","4,547","48,497"
1504,SOUTHWESTERN CHRISTIAN COLLEGE,Educational Institution,SFSP,Private Nonprofit,2,10,Kaufman ,2,40, -   , -   ,40, -   , -   ,"8,483", -   , -   ,"13,074",327, -   , -   ,"21,557","16,033", -   , -   ,"43,144", -   , -   ,"6,101","65,278"
1507,CITY OF CORPUS CHRISTI PARKS AND RECREATION DEPARTMENT,Government Agency,SFSP,Unit of Government,5,2,Nueces ,30, -   , -   , -   ,39,39, -   , -   , -   , -   ,"13,325",342,"12,012", -   ,"25,337", -   , -   , -   ,"43,973","9,249", -   ,"5,738","58,960"
